nama_unit,nomor_polisi,merk,wilayah
Unit Pompa 10.000L,B 9450 PHA,Hino,Kantor Dinas
Unit Ambulance,B 1202 PHX,Hino-110 SDB,Kantor Dinas
Light Rescue,B 9439 PHA,Isuzu,Kantor Dinas
BRONTO,B 9068 PHA,SCANIA,Kantor Dinas
Unit B.A.S,B 9481 PHA,Hino 4x2; X2U710R - HKFTP3,Kantor Dinas
MCC,B 7296 PPA,Isuzu; Type : NQR-71,Kantor Dinas
Strada Perwira,B 9158 PSD,Mitsubishi Strada,Kantor Dinas
Unit Pengendali Operasi,B 9165 PSD,Mitsubishi Strada Triton,Jakarta Pusat
Unit Pompa Light Pressure 2500 Ltr,B 9001 PHA,Hino Dutro 130MD,Jakarta Pusat
Unit BBM/Storing,B 9471 LQ,Ford Ranger Single Cabin,Jakarta Pusat
Unit Pompa10.000 Liter,B 9193 DQ,Hino FL 1 JNRA-RGJ,Jakarta Pusat
Unit Pompa10.000 Liter,B 9462 PHA,Hino,Jakarta Pusat
Unit Pompa  4.000 Liter,B 9800 HQ,Hino FF173NA/Morita,Jakarta Pusat
Unit New Quick Respone,B 9206 PHA,Ford,Jakarta Pusat
Unit Submersible,B 9822 OQ,Hino,Jakarta Pusat
Unit Pompa  4.000 Liter,B 9303 PHA,Hino,Jakarta Pusat
Unit Pompa  4.000 Liter,B 9005 PHA,Isuzu,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9451 PHA,Hino,Jakarta Pusat
Unit Pompa  4.000 Liter,B 9121 PHA,235PS,Jakarta Pusat
Light Rescue,B 9139 PHA,Ford Ranger Double Cabin,Jakarta Pusat
Light Rescue,B 9177 PHA,Ford Ranger Double Cabin,Jakarta Pusat
Heavy Duty Rescue,B 9298 PHA,Hino-FL260JW,Jakarta Pusat
Unit Pompa  2.500 Liter,B 9313 PHA,Hino,Jakarta Pusat
Unit Pompa  4.000 Liter,B 9389 PHA,Hino,Jakarta Pusat
Unit Quick Selang,B 9392 BQ,"F.R.SI.CB 2,5L4X4MT",Jakarta Pusat
Unit Pompa  4.000 Liter,B 9388 PHA,Hino,Jakarta Pusat
Unit Pompa10.000 Liter,B 9093 PHA,Isuzu,Jakarta Pusat
Unit Pompa 2.000 Liter,B 9279 PHA,Hino,Jakarta Pusat
Unit Quick Respone,B 9391 BQ,"F.R.SI.CB 2,5L4X4MT",Jakarta Pusat
Light Rescue,B 9440 PHA,Isuzu,Jakarta Pusat
Unit Pompa  4.000 Liter,B 9151 KQ,Mercedez,Jakarta Pusat
Unit Pompa  2.500 Liter,B 9402 PHA,Hino,Jakarta Pusat
Unit Pompa10.000 Liter,B 9094 PHA,Isuzu,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9453 PHA,Hino,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9314 PHA,Hino,Jakarta Pusat
Unit Quick Respone,B 9205 PHA,Ford Ranger Single Cabin,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9019 PHA,Isuzu FTR 33K E2 MT,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9228 PHA,Isuzu ELF/NKR71,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9467 PHA,HINO WU 342R,Jakarta Pusat
Unit Quick Respone,B 9089 PHA,Ford Ranger Single Cabin,Jakarta Pusat
Unit Pompa 10.000 Liter,B 9095 PHA,Isuzu,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9403 PHA,Hino,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9227 PHA,Isuzu,Jakarta Pusat
Unit Quick Respone,B 9053 PHA,Ford Ranger Single Cabin,Jakarta Pusat
Unit Light Rescue,B 9339 PHA,Isuzu D-Max Rodeo MT,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9006 PHA,Isuzu,Jakarta Pusat
Unit Pompa 10.000 Liter,B 9096 PHA,Isuzu,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9201 OQ,Hino FG 1 JKPB-BGJL,Jakarta Pusat
Light Rescue,B 9338 PHA,Isuzu D-Max Rodeo MT,Jakarta Pusat
Unit Quick Respone,B 9208 PHA,Ford,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9404 PHA,HINO WU 342R,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9371 LQ,Mitsubishi,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9058 PHA,Hino Dutro 130 MD,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9162 PHA,Hino / FG 235 / FIREDOME,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9465 PHA,HINO WU 342R,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9405 PHA,HINO WU 342R,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9862 OQ,Hino FG 1 JKPB-BGJL,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9229 PHA,Isuzu ELF/NKR71,Jakarta Pusat
Unit Pompa 2.000 Liter,B 9280 PHA,Hino-110 SD,Jakarta Pusat
Unit Quick Respone,B 9070 PHA,Ford Ranger Single Cabin,Jakarta Pusat
Light Rescue,B 9433 PHA,IZUSU TFS6X,Jakarta Pusat
Unit Pompa 4.000 Liter,B 9161 PHA,Hino,Jakarta Pusat
Unit Pompa 2.500 Liter,B 9466 PHA,Hino,Jakarta Pusat
Mobil Quick Response (Pompa),B 9473 LQ,Ford,Jakarta Utara
Mobil Water Mist System (Storing BBM),B 9153 PHA,Ford,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9469 PHA,Hino,Jakarta Utara
Mobil Super High Pressure Foam ,B 9301 PHA,Hino,Jakarta Utara
Mobil Light Rescue,B 9437 PHA,Ford,Jakarta Utara
Mobil Collpasible Structure  Rescue,B 9172 PHA,Hino,Jakarta Utara
Mobil Ambulance,B 1201 PHX,Hino,Jakarta Utara
Mobil Pompa  Medium 4.000 Liter,B 9122 PHA,Isuzu,Jakarta Utara
Light Truck  2.500 Liter,B 9406 PHA,Hino,Jakarta Utara
Mobil Pompa  Medium 4.000 Liter,B 9164 PHA,Hino,Jakarta Utara
Mobil Lighting Rescue,B 9140 PHA,Ford,Jakarta Utara
Mobil Snorkel 25m,B 9160 DQ,,Jakarta Utara
Mobil Quick Response (Pompa),B 9087 PHA,Ford,Jakarta Utara
Mobil Pompa  Medium 4.000 Liter,B 9390 PHA,Hino,Jakarta Utara
Mobil Pompa 4.000 Liter,B 9009 PHA,Isuzu,Jakarta Utara
Mobil Quick Response (Pompa),B 9056 PHA,Ford,Jakarta Utara
Mobil Pompa 2500L,B 9232 PHA,Hino,Jakarta Utara
Mobil Light Water Mist System,B 9251 PHA,Hino,Jakarta Utara
Mobil Light Rescue,B 9340 PHA,Ford,Jakarta Utara
Mobil Pompa 4.000 Liter,B 9163 PHA,Hino,Jakarta Utara
Mobil Pompa 4.000 Liter,B 9304 PHA,Isuzu,Jakarta Utara
Mobil High Pressure 10.000 Liter,B 9409 BQ,Isuzu,Jakarta Utara
Mobil Pompa 4.000 Liter,B 9008 PHA,Isuzu,Jakarta Utara
Mobil Light Rescue ,B 9438 PHA,Isuzu,Jakarta Utara
Mobil Pompa 4.000 Liter,B 9391 PHA,Hino,Jakarta Utara
Mobil Light Fire Truck 2000Liter,B 9282 PHA,Hino,Jakarta Utara
Mobil Pompa  Medium 4.000 Liter,B 9310 PHA,Hino,Jakarta Utara
Mobil Pompa 10.000 Liter,B 9098 PHA,Isuzu,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9126 PHA,Hino,Jakarta Utara
Mobil Breathing Air System (BAS) ,B 9441 PHA,Hino,Jakarta Utara
Mobil Quick Response ,B 9210 PHA,Ford,Jakarta Utara
Mobil Pompa 10.000 Liter,B 9100 PHA,Isuzu,Jakarta Utara
Mobil Pompa  Medium 4.000 Liter,B 9454 PHA,Hino,Jakarta Utara
Mobil Light Rescue,B 9341 PHA,Isuzu,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9407 PHA,Isuzu,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9408 PHA,Isuzu,Jakarta Utara
Mobil Light Rescue,B 9180 PHA,Ford,Jakarta Utara
Mobil Pompa 4.000 Liter,B 9305 PHA,Hino,Jakarta Utara
Mobil Smoke Removal 10000 L,B 9099 PHA,2011,Jakarta Utara
Mobil Light Water Mist System,B 9285 PHA,Isuzu,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9316 PHA,Hino,Jakarta Utara
Mobil Quick Response (Pompa),B 9081 PHA,Ford,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9233 PHA,Isuzu,Jakarta Utara
Mobil Pompa Medium 4.000 Liter,B 9455 PHA,Hino,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9470 PHA,Hino,Jakarta Utara
Mobil Pompa 4.000 Liter,B 9007 PHA,Isuzu,Jakarta Utara
Mobil Pompa Medium 4.000 Liter,B 9010 PHA,Isuzu,Jakarta Utara
Mobil Water Mist,B 9283 PHA,Isuzu,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9864 OQ,Isuzu,Jakarta Utara
Mobil Pompa 2.500 Liter,B 9468 PHA,Hino,Jakarta Utara
Mobil Komando,B 9148 PHA,Ford,Jakarta Utara
Mobil Water Tower,B 9380 PHA,Mercedes,Jakarta Utara
Mobil LIGHTING,B 9296 PHA,Hino,Jakarta Utara
Mobil Light RESCUE,B 9141 PHA,Ford,Jakarta Utara
Mobil Light Presure 1500,B 9249 PHA,Hino,Jakarta Utara
Mobil QUICK RESPONSE,B 9069 PHA,Ford,Jakarta Utara
Komando 3.3,B 9161 PSD,Strada Triton,Jakarta Barat
Komando 3.4,B 1187 PQR,Isuzu Panther,Jakarta Barat
Water Mist (Ranger),B 9336 PHA,Double Cabin Ford Ranger XLS,Jakarta Barat
High Pressure,B 9102 PHA,HINO,Jakarta Barat
Collapsible Structure Rescue,B 9173 PHA,Hino Dutro 110 SD,Jakarta Barat
BA System,B 9443 PHA,HINO,Jakarta Barat
Gmaex-Aerial Fire Fighting,B 9447 PHA,Merk Chassis : MAN ; GIMAEX,Jakarta Barat
Pengendali Banjir,B 9143 PQV,ISUZU,Jakarta Barat
Medan Berat,B 9400 PHA,IVECO,Jakarta Barat
Mobil Ventilation Unit C/W Remote Control,B 9266 PHA ,Ford Single Cabin,Jakarta Barat
Medium Pressure,B 9166 PHH,HINO,Jakarta Barat
Light Rescue,B 9436 PHA,ISUZU,Jakarta Barat
Light Pressure,B 9317 PHA,HINO DUTRO 130HD,Jakarta Barat
Heavy Foam,B 9445 PHA,GIMAEX,Jakarta Barat
High Pressure,B 9103 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Barat
Quick Response,B 9079 PHA,,Jakarta Barat
Light Rescue,B 9435 PHA,ISUZU,Jakarta Barat
Light Fire Truck 2500,B 9471 PHA,HINO,Jakarta Barat
Light Pressure,B 9318 PHA,HINO DUTRO 130HD,Jakarta Barat
High Pressure,B 9452 PHA,HINO,Jakarta Barat
Light Rescue,B 9181 PHA,Double Cabin Ford Ranger XLS,Jakarta Barat
Medium Pressure 373,B 9205 OQ,HINO FG / MBL POMPA 4 M3,Jakarta Barat
Medium Pressure,B 9392 PHA,HINO,Jakarta Barat
Medium Pressure,B 9123 PHA,235PS,Jakarta Barat
Quick Response,B 9485 LQ,FORD / HOSE RETRIVAL,Jakarta Barat
Medium Pressure,B 9464 PHA,HINO,Jakarta Barat
Quick Response,B 9086 PHA,,Jakarta Barat
Light Pressure /LFT,B 9473 PHA,HINO,Jakarta Barat
Medium Pressure,B 9011 PHA,,Jakarta Barat
Quick Response,B 9085 PHA,,Jakarta Barat
Light Rescue,B 9342 PHA,Merk : Isuzu ; Tipe : D - Max,Jakarta Barat
Light Fire Truck,B 9412 PHA,HINO,Jakarta Barat
Light Fire Truck 2500,B 9234 PHA,HINO,Jakarta Barat
Light Fire Truck,B 9287 PHA,Hino Dutro 110 SD / Challenger,Jakarta Barat
Light Pressure,B 9236 PHA,Isuzu ELF/NKR71,Jakarta Barat
Light Pressure 377,B 9372 LQ,"MITSUBISHI / POMPA 2,5 M3",Jakarta Barat
High Pressure,B 9104 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Barat
Light Pressure,B 9235 PHA,Isuzu ELF/NKR71,Jakarta Barat
Light Rescue,B 9343 PHA,Merk : Isuzu ; Tipe : D - Max,Jakarta Barat
Light Fire Truck 1500,B 9254 PHA,Hino Dutro 110 D,Jakarta Barat
Light Fire Truck 2500,B 9413 PHA,Hino Dutro 110 D,Jakarta Barat
Medium Pressure,B 9463 PHA,HINO,Jakarta Barat
Light Truck,B 9286 PHA,Hino Dutro 110 SD / Challenger,Jakarta Barat
Light Rescue,B 9178 PHA,Double Cabin Ford Ranger XLS,Jakarta Barat
Gmaex-Aerial Fire Fighting,B 9384 PHA,Merk Chassis : MAN ; GIMAEX,Jakarta Barat
Medium Pressure,B 9165 PHA,"HINO / FG 235, 235 PS",Jakarta Barat
Medium Pressure,B 9012 PHA,,Jakarta Barat
Light Fire Truck,B 9411 PHA,HINO,Jakarta Barat
Medium Pressure,B 9387 PHA,HINO,Jakarta Barat
Medium Pressure,B 9306 PHA,Hino FG 235 PS,Jakarta Barat
Light Fire Truck,B 9288 PHA,Hino Dutro 110 SD / Challenger,Jakarta Barat
High Pressure,B 9101 PHA,Isuzu Borneo FVZ 34 P,Jakarta Barat
Rapid Rescue,B 9365 PHH,Merk : Ford ; Single Cabin,Jakarta Barat
Medium Pressure 375,B 9865 OQ,HINO FG / MBL POMPA 4 M3,Jakarta Barat
Medium Pressure,B 9393 PH,HINO,Jakarta Barat
Light Pressure,B 9373 LQ,"MITSUBISHI / POMPA 2,5 M3",Jakarta Barat
Mobil Rescue Standar,B 9804 PHA,MITSUBISHI,Jakarta Selatan
Mobil Light Rescue,B 9431 PHA,ISUZU,Jakarta Selatan
Mobil Heavy Duty Rescue,B 9299 PHA,Merk / tipe : \Hino FL 260,Jakarta Selatan
Mobil BA System,B 9442 PHA,HINO,Jakarta Selatan
Mobil Pompa 10.000 Liter,B 9108 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Selatan
Mobil Pompa 10.000 Liter,B 9461 PHA,HINO,Jakarta Selatan
Mobil Quick Response,B 9223 PHA,Ford All New Ranger Single Cabin,Jakarta Selatan
Mobil Quick Response,B 9218 PHA,Ford All New Ranger Single Cabin,Jakarta Selatan
Mobil Gmaex-Aerial Fire Fighting,B 9444 PHA,GIMAEX,Jakarta Selatan
Mobil BA Refilling,B 9770 PQ,HINO FG / BA REFILLING,Jakarta Selatan
Mobil Super Foamer Truck,B 9132 PHA,SCANIA / P380CB,Jakarta Selatan
Mobil Pompa portabel,B 9226 OQ,HINO DUTRO / MBL OPS SEKTOR,Jakarta Selatan
Mobil Collapsible Structure Rescue,B 9174 PHA,HINO,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9395 PHA,HINO,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9238 PHA,Isuzu ELF/NKR71 Lisensi Jepang,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9168 PHA,FE 4000 WT HINO,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9320 PHA,HINO DUTRO 130HD,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9377 LQ,MITSUBISHI / MBL POMPA 4 M3,Jakarta Selatan
Mobil Pompa 10.000 Liter,B 9107 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Selatan
Mobil Super High Pressure Foam / Fire Stick,B 9160 PHA,Firedome FE 10.000 HPF HINO,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9015 PHA,,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9414 PHA,HINO,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9458 PHA,HINO,Jakarta Selatan
Mobil Pompa Light Pressure 2500 L,B 9474 PHA,HINO,Jakarta Selatan
Mobil Quick Response (Pompa),B 9398 BQ,,Jakarta Selatan
Mobil Light Rescue,B 9345 PHA,Merk : Isuzu ; Tipe : D - Max,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9415 PHA,HINO,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9167 PHA,FE 4000 WT HINO,Jakarta Selatan
Mobil Pompa 10.000 Liter,B 9105 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9457 PHA,HINO,Jakarta Selatan
Mobil Quick Response (Pompa),B 9071 PHA,,Jakarta Selatan
Mobil Quick Response (Selang),B 9403 BQ,,Jakarta Selatan
Mobil Aerial Fire Fighting,B 9425 PHA,Merk : GIMAEX ,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9239 PHA,Isuzu ELF/NKR71 Lisensi Jepang,Jakarta Selatan
Mobil Quick Response (Pompa),B 9477 LQ,FORD / QUICK RESPON,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9307 PHA,Hino FG 235 PS,Jakarta Selatan
Mobil Pompa Light Pressure 2500 L,B 9476 PHA,HINO,Jakarta Selatan
Mobil Pompa 10.000 Liter,B 9106 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Selatan
Mobil Light Rescue,B 9344 PHA,Merk : Isuzu ; Tipe : D - Max,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9394 PHA,HINO,Jakarta Selatan
Mobil Quick Response (Pompa),B 9399 BQ,,Jakarta Selatan
Mobil Light Rescue,B 9144 PHA,,Jakarta Selatan
Mobil Light Fire Truck,B 9289 PHA,Hino FL / Mbl Pompa 10 M3,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9923 PQ,HINO FG / MBL POMPA 4 M3,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9014 PHA,,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9648 HQ,TOYOTA DYNA,Jakarta Selatan
Mobil Pompa Light Pressure 2500 L,B 9475 PHA,HINO,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9124 PHA,235PS,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9867 OQ,HINO FG / MBL POMPA 4 M3,Jakarta Selatan
Mobil Light Rescue,B 9184 PHA,Double Cabin Ford Ranger XLS,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9319 PHA,HINO DUTRO 130HD,Jakarta Selatan
Mobil Quick Response,B 9221 PHA,Ford All New Ranger Single Cabin,Jakarta Selatan
Mobil Quick Response (selang),B 9219 PHA,Ford All New Ranger Single Cabin,Jakarta Selatan
Mobil Pompa 4.000 Liter,B 9207 OQ,HINO FG / MBL POMPA 4 M3,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9127 PHA,,Jakarta Selatan
Mobil Pompa 2.500 Liter,B 9416 PHA,HINO,Jakarta Selatan
Medium Pressure 4000 L,B 9378 LQ,MITSUBISHI / MBL POMPA 4 M3,Jakarta Timur
High Pressure 10.000 L,B 9401 BQ,"F.R.SI.CB 2,5L4X4MT",Jakarta Timur
Hydraulic Platform,B 9449 PHA,MAN,Jakarta Timur
Quick Response Pompa,B 9225 PHA,Ford New Ranger Single Cabin,Jakarta Timur
Komando,B 1245 PQR,Isuzu Panther,Jakarta Timur
Storing Unit,B 9408 BQ,Ford Single Cabin,Jakarta Timur
Lighting Rescue,B 9297 PHA,HINO,Jakarta Timur
Unit Rescue 510,B 9868 PHA,HINO,Jakarta Timur
Light Pressure 2500 L,B 9241 PHA,Isuzu ELF/NKR71,Jakarta Timur
High Pressure 10.000 L,B 9110 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Timur
Light Rescue,B 9434 PHA,ISUZU,Jakarta Timur
CW Watermist 2000 L,B 9294 PHA,Hino Dutro 110 SD,Jakarta Timur
Medium Pressure 4000 L,B 9870 OQ,HINO FG / MBL POMPA 4 M3,Jakarta Timur
Medium Pressure 4000 L,B 9396 PHA,HINO,Jakarta Timur
Medium Pressure 4000 L,B 9460 PHA,HINO,Jakarta Timur
Quick Respons,B 9420 BQ,"F.R.SI.CB 2,5L4X4MT",Jakarta Timur
Light Rescue,B 9146 PHA,Double Cabin Ford Ranger XLS,Jakarta Timur
Light Pressure 2500 L,B 9477 PHA,HINO,Jakarta Timur
Medium Pressure 4000 L,B 9169 PHA,HINO,Jakarta Timur
High Pressure 10.000 L,B 9113 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Timur
High Pressure 10.000 L,B 9109 PHA,Isuzu Borneo FVZ 34 P 285 PS,Jakarta Timur
Light Fire Truck 2500 L,B 9418 PHA,HINO,Jakarta Timur
Quick Respon Pompa,B 9083 PHA,,Jakarta Timur
Light Rescue,B 9185 PHA,Double Cabin Ford Ranger XLS,Jakarta Timur
